name,description,unit,scope,default_source,client_surface,api_endpoint,db_table.column,used_by,category,notes,phase2_action
maxDailyLoss,Maximum daily loss before kill switch,USD,mode-global,DB:guardrails.maxDailyLoss,NO (hidden),/api/guardrails,guardrails.maxDailyLoss,RiskManager|TradingEngine,risk_limit,Absolute dollar value - should be percent-based,DEPRECATE - replace with dailyLossKillSwitch%
maxDrawdown,Maximum drawdown percentage,percent,mode-global,DB:guardrails.maxDrawdown,YES,/api/guardrails,guardrails.maxDrawdown,RiskManager|TradingEngine,risk_limit,Stored as % (e.g. 10.00 = 10%),DEPRECATE - redundant with dailyLossKillSwitch
maxPositionSize,Maximum position size in dollars,USD,mode-global,DB:guardrails.maxPositionSize,NO (hidden),/api/guardrails,guardrails.maxPositionSize,RiskManager|TradingEngine,position_sizing,Absolute dollar value - should be percent-based,DEPRECATE - replace with maxPositionPercent%
maxOpenPositions,Maximum number of concurrent open positions,count,mode-global,DB:guardrails.maxOpenPositions,YES,/api/guardrails,guardrails.maxOpenPositions,RiskManager|TradingEngine|StrategyEngine,position_sizing,"Core Four candidate (but maybe redundant - LATTI controls this)",KEEP as Core Four
riskPerTrade,Risk per trade as percentage of portfolio,percent,mode-global,DB:guardrails.riskPerTrade,YES (converted),/api/guardrails,guardrails.riskPerTrade,RiskManager|TradingEngine|LATTI,"risk_per_trade,Core Four",Stored as % - Phase 27.F.33 displays as Portfolio Risk per Trade (%),KEEP as Core Four
maxRequiredCapital,Maximum required capital for trading,USD,mode-global,DB:guardrails.maxRequiredCapital,NO (hidden),/api/guardrails,guardrails.maxRequiredCapital,RiskManager,capital_requirement,Unclear purpose - not actively used,DEPRECATE - unclear business value
maxRiskPerTradeLimit,Maximum dollar limit for risk per trade,USD,mode-global,DB:guardrails.maxRiskPerTradeLimit,NO (hidden),/api/guardrails,guardrails.maxRiskPerTradeLimit,RiskManager,risk_limit,Redundant - riskPerTrade% already caps this,DEPRECATE - redundant
cooldownMinutes,Symbol cooldown period (minutes),minutes,mode-global,DB:guardrails.cooldownMinutes,YES,/api/guardrails,guardrails.cooldownMinutes,TradingEngine|LATTI|HeuristicTrader,"execution_rhythm,Core Four",Range 0-90 minutes - also duplicated in tuningPolicy,KEEP as Core Four + eliminate tuningPolicy duplicate
microLoopInterval,Micro-execution loop check interval,seconds,mode-global,DB:guardrails.microLoopInterval,NO (hidden),/api/guardrails,guardrails.microLoopInterval,MicroExecutionService,micro_execution,Range 5-15 seconds - advanced setting,KEEP (but hide from UI - LATTI controls)
priceDeltaTrigger,Minimum price change to trigger micro-check,percent,mode-global,DB:guardrails.priceDeltaTrigger,NO (hidden),/api/guardrails,guardrails.priceDeltaTrigger,MicroExecutionService,micro_execution,Range 0.20-0.60% - advanced setting,KEEP (but hide from UI - LATTI controls)
aiCanAdjust,Allow AI to auto-adjust guardrails,boolean,mode-global,DB:guardrails.aiCanAdjust,NO (deprecated),/api/guardrails,guardrails.aiCanAdjust,NONE (deprecated),ai_control,Deprecated - LATTI uses tuningPolicy instead,DEPRECATE - no longer used
dailyLossKillSwitch,Daily loss kill switch percentage,percent,GLOBAL (not mode-scoped!),DB:trading_settings.dailyLossKillSwitch,YES,/api/settings,trading_settings.dailyLossKillSwitch,RiskManager|TradingEngine,"risk_limit,Core Four","PER-USER instead of mode-global - ARCHITECTURE VIOLATION!",MIGRATE to guardrails table as Core Four
maxPositionPercent,Maximum position size as portfolio percent,percent,GLOBAL (not mode-scoped!),DB:trading_settings.maxPositionPercent,YES,/api/settings,trading_settings.maxPositionPercent,RiskManager,"position_sizing,potentially Core Four",PER-USER instead of mode-global - ARCHITECTURE VIOLATION!,MIGRATE to guardrails table or compute from riskPerTrade
tuning.cooldownMinutes,LATTI tuning cooldown period,minutes,per-user+mode,DB:tuning_policy.cooldownMinutes,NO,/api/tuning/policy,tuning_policy.cooldownMinutes,LATTIManager|HeuristicTrader,execution_rhythm,DUPLICATE of guardrails.cooldownMinutes - creates sync conflicts,DEPRECATE - read from guardrails only
tuning.maxStepPercent,LATTI max adjustment step size,percent,per-user+mode,DB:tuning_policy.maxStepPercent,NO,/api/tuning/policy,tuning_policy.maxStepPercent,LATTIManager,tuning_control,LATTI internal parameter,KEEP (LATTI-specific)
tuning.maxDailyAdjustments,LATTI max adjustments per day,count,per-user+mode,DB:tuning_policy.maxDailyAdjustments,NO,/api/tuning/policy,tuning_policy.maxDailyAdjustments,LATTIManager,tuning_control,LATTI internal parameter,KEEP (LATTI-specific)
tuning.aggressiveness,LATTI tuning aggressiveness level,enum,per-user+mode,DB:tuning_policy.aggressiveness,NO,/api/tuning/policy,tuning_policy.aggressiveness,LATTIManager,tuning_control,"Values: conservative|balanced|aggressive",KEEP (LATTI-specific)
