population,commit_sha,commit_time_utc,file,subject
exported commit-touch records; not deploy boundaries,3f88e2e4a64e6a9e9ebe1fac64af9f4b0a081ec5,2026-09-06T13:03:23Z,server/services/active-execution-engine.ts,B-PRICE-SIDE-BY-JOB §14: the venue's own timestamp is parsed; counted and carried — kept BESIDE our clock; because the gap between them is the measurement
exported commit-touch records; not deploy boundaries,9217e0faa8fd4c7ec0ac8d2c5d950a3f95ac13ab,2026-09-06T08:34:11Z,server/services/active-execution-engine.ts,B-PRICE-SIDE-BY-JOB: the sides reach BOTH stores — one hop; and it lands on the exit trigger and signal generation together
exported commit-touch records; not deploy boundaries,4dc231e5714f34405b958975d92c3983e04bfcfc,2026-09-05T11:28:00Z,server/services/active-execution-engine.ts,B-XSTOCK-FEED-SANITY: D1 and D3 fixed — and my first regression test proved nothing; which is how I found what actually made the defect bite
exported commit-touch records; not deploy boundaries,8f18763ecee85d08dc88c950316d01b19c51ab5a,2026-09-05T09:11:01Z,server/services/vts-runner.ts,B-PRICE-SIDE-BY-JOB: the level basis is wired SHADOW on both lanes; and the funnel is readable from outside the process
exported commit-touch records; not deploy boundaries,af7f31d839ba514ec56f4fcb37a1f100a4be1ae9,2026-09-05T01:22:25Z,server/asset_classes/xstock_spot/eval-cycle.ts,B-PRICE-SIDE-BY-JOB: the spread double-count fixed at the decision; not in the shared formula — and my census instrument was itself blind
exported commit-touch records; not deploy boundaries,af7f31d839ba514ec56f4fcb37a1f100a4be1ae9,2026-09-05T01:22:25Z,server/core/math/maker-taker-decision.ts,B-PRICE-SIDE-BY-JOB: the spread double-count fixed at the decision; not in the shared formula — and my census instrument was itself blind
exported commit-touch records; not deploy boundaries,af7f31d839ba514ec56f4fcb37a1f100a4be1ae9,2026-09-05T01:22:25Z,server/services/vts-runner.ts,B-PRICE-SIDE-BY-JOB: the spread double-count fixed at the decision; not in the shared formula — and my census instrument was itself blind
exported commit-touch records; not deploy boundaries,3ad89b699c6b7d6c00acaa57a14a5ee1e228d7a1,2026-09-03T23:57:41Z,server/services/active-execution-engine.ts,B-XSTOCK-FEED-SANITY: a hollow frame CAN seed the comparator and a bad seed LATCHED — Langston's Step-8 finding; reproduced at the object; bounded and labelled
exported commit-touch records; not deploy boundaries,2779992d6c76c65e1e97b93d83a5e4fd381a630a,2026-09-03T23:09:54Z,server/services/active-execution-engine.ts,B-XSTOCK-FEED-SANITY hotfix: the guard I deployed an hour ago was INERT — the comparator could never seed; and the one path that could deadlock was the one path no test ran
exported commit-touch records; not deploy boundaries,1a39d7cb3195d3489a8237836836c9d3a857a9e7,2026-09-03T10:36:44Z,server/services/active-execution-engine.ts,B-XSTOCK-FEED-SANITY Step 4 round 2 APPROVED (Langston 06:30Z at c5bd9de32): three fixes folded; #996 filed as its own batch; the deploy-ordering gate recorded
