parameter,clash_with,clash_type,effective_priority,impact,recommended_resolution,phase2_action
cooldownMinutes (guardrails),cooldownMinutes (tuningPolicy),duplicate,guardrails wins (synced on save),Sync logic fragile - can drift,Eliminate from tuningPolicy - read from guardrails only,MERGE → guardrails (single SoT)
dailyLossKillSwitch (trading_settings),maxDailyLoss (guardrails),duplicate / different semantics,dailyLossKillSwitch (%) used by RiskManager,Both control daily loss but different units (% vs $),Migrate dailyLossKillSwitch to guardrails table,MIGRATE to guardrails as %
maxPositionPercent (trading_settings),maxPositionSize (guardrails),duplicate / different semantics,maxPositionPercent (%) used by RiskManager,Both control position sizing but different units (% vs $),Migrate maxPositionPercent to guardrails table,MIGRATE to guardrails as %
maxDrawdown (guardrails),dailyLossKillSwitch (trading_settings),semantic overlap,Both used - creates confusion,Both limit losses but applied differently,Deprecate maxDrawdown - dailyLossKillSwitch is clearer,DEPRECATE maxDrawdown
maxRiskPerTradeLimit (guardrails),riskPerTrade (guardrails),contradiction,riskPerTrade is primary control,Absolute $ limit redundant when % limit exists,Deprecate maxRiskPerTradeLimit - compute from riskPerTrade%,DEPRECATE maxRiskPerTradeLimit
maxDailyLoss (guardrails),dailyLossKillSwitch (trading_settings),duplicate / units mismatch,dailyLossKillSwitch (%) preferred,Absolute $ vs portfolio % - inconsistent semantics,Deprecate maxDailyLoss - use dailyLossKillSwitch%,DEPRECATE maxDailyLoss
maxPositionSize (guardrails),maxPositionPercent (trading_settings),duplicate / units mismatch,maxPositionPercent (%) preferred,Absolute $ vs portfolio % - inconsistent semantics,Deprecate maxPositionSize - use maxPositionPercent%,DEPRECATE maxPositionSize
strategy_parameters (global),strategy_settings.params (mode-scoped),architectural conflict,strategy_settings.params wins,Global params conflict with mode-based isolation,Deprecate strategy_parameters table entirely,DEPRECATE table
tuningPolicy (per-user),guardrails (mode-global),architectural conflict,guardrails is SoT for limits,LATTI tuning should be global-per-mode not per-user,Migrate tuningPolicy to global-per-mode architecture,REFACTOR to mode-global
trading_settings risk params,guardrails table,wrong table location,Both tables used - creates confusion,Risk parameters split across two tables,Consolidate all risk params in guardrails,MIGRATE risk params to guardrails
riskPerTrade units,Portfolio Risk % display,semantic alignment,Backend stores % - frontend converts,Phase 27.F.33 converts to portfolio % for display,Already aligned - no change needed,KEEP current pattern
maxOpenPositions (guardrails),LATTI dynamic control,potentially redundant,Guardrail is hard limit - LATTI optimizes within,May be redundant if LATTI always stays within limits,Review if needed or if LATTI control is sufficient,REVIEW necessity
microLoopInterval / priceDeltaTrigger,LATTI tuning,hidden from UI - LATTI controls,LATTI optimizes these parameters,Advanced params that users shouldn't manually adjust,Keep in schema but hide from UI - LATTI-managed,KEEP (hide from UI)
universeSize / confidenceThreshold,LATTI optimization targets,filter vs optimization,Filters are hard constraints - LATTI optimizes within,Filters constrain universe - LATTI optimizes behavior,No conflict - complementary,NO ACTION
aiCanAdjust (guardrails),tuningPolicy.enabled,deprecated vs active,tuningPolicy.enabled is active control,Old boolean flag superseded by tuningPolicy,Remove aiCanAdjust entirely - no longer used,DEPRECATE aiCanAdjust
